Timestamp,"For each of these R packages, which one describes you best? [dplyr]","For each of these R packages, which one describes you best? [DBI]","For each of these R packages, which one describes you best? [sparklyr]","For each of these R packages, which one describes you best? [odbc]","For each of these R packages, which one describes you best? [purrr]","For each of these R packages, which one describes you best? [shiny]","For each of these R packages, which one describes you best? [RMarkdown]","For each of these R packages, which one describes you best? [shinydashboards]","For each of these R packages, which one describes you best? [flexdashboards]","For each of these R packages, which one describes you best? [ggplot2]","For each of these R packages, which one describes you best? [RODBC]","For each of these R packages, which one describes you best? [RJDBC]","For each of these R packages, which one describes you best? [sparkR]","For each of these R packages, which one describes you best? [rhdfs and/or rmr2]","Regarding SQL and Spark experience, which one describes you best? [Simple SQL queries]","Regarding SQL and Spark experience, which one describes you best? [Complex SQL SELECT queries ]","Regarding SQL and Spark experience, which one describes you best? [Update and insert new records into tables]","Regarding SQL and Spark experience, which one describes you best? [Create new tables and views]","Regarding SQL and Spark experience, which one describes you best? [Write stored-procedures/ programs]","Regarding SQL and Spark experience, which one describes you best? [Build a new database]","Regarding SQL and Spark experience, which one describes you best? [Build a new server]","Regarding SQL and Spark experience, which one describes you best? [Connect to a database using ODBC/JDBC]","Regarding SQL and Spark experience, which one describes you best? [Connect to Spark]","Regarding SQL and Spark experience, which one describes you best? [Run Spark jobs]","Regarding SQL and Spark experience, which one describes you best? [Write Spark jobs (Scala, python, etc)]","Regarding SQL and Spark experience, which one describes you best? [Build a Hadoop cluster]",Which one describes your proficiency in R?,"Which databases do you access at work today, or plan to access soon?",What is the status of your data lake?,Which kinds of clusters do you have access to at work?,"If you have access to a  Hadoop cluster, who is the provider?","If you have access to a cluster,  where is it hosted?"
12/31/2018 12:15:09,I'm the one that folks come to for help,I'm the one that folks come to for help,I don't use it,I can't live without it,I use it most days,I use it most days,I can't live without it,I use it occasionally,I use it occasionally,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I do that very often,I do that on occasion,I've done it once or twice,I do that on occasion,I do that on occasion,"Anytime, anywhere!",I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, PostgreSQL",Mature - We use it for a lot of things,Other,Other,Inside my company's network (on premise)
12/31/2018 13:03:41,I use it most days,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it occasionally,I use it occasionally,I don't use it,I use it occasionally,I don't use it,I use it occasionally,I don't use it,I don't use it,I do that very often,I do that on occasion,I've done it once or twice,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Oracle, Redshift, Other","Silo - There's a Data Lake somewhere in the company, but we have no access",Hadoop with Spark,Other,Inside my company's network (on premise)
12/31/2018 13:06:56,I'm the one that folks come to for help,I use it occasionally,I don't use it,I use it occasionally,I use it occasionally,I use it most days,I can't live without it,I use it occasionally,I use it occasionally,I'm the one that folks come to for help,I use it occasionally,I don't use it,I don't use it,I don't use it,I've done it once or twice,I've done it once or twice,I do that on occasion,I do that very often,I do that on occasion,I've done it once or twice,I'm not sure what this is,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,Oracle,"Early days - Passed the POC phase, but not fully there",None,Other,
12/31/2018 14:23:41,I'm the one that folks come to for help,I don't use it,I don't use it,I don't use it,I can't live without it,I don't use it,I can't live without it,I use it occasionally,I use it occasionally,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,"Microsoft SQL Server, PostgreSQL","Not even close - We've had some conversations about it, but nothing has been done yet",Other,,Inside my company's network (on premise)
12/31/2018 15:09:55,I use it occasionally,,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it most days,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,None yet,"Not even close - We've had some conversations about it, but nothing has been done yet",Other,,Inside my company's network (on premise)
12/31/2018 15:36:19,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I use it most days,I don't use it,I do that very often,I've done it once or twice,I do that very often,I do that on occasion,I've done it once or twice,I do that on occasion,I do that on occasion,I do that very often,I do that very often,I do that very often,I do that very often,I've done it once or twice,Enough to stop being dangerous,"Redshift, PostgreSQL, Other",Under construction - We are working through a POC today,Hadoop with Spark,Other,On the cloud in AWS
12/31/2018 17:58:46,I use it most days,I don't use it,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I do that very often,I do that on occasion,I do that on occasion,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,Microsoft SQL Server,"On the road map - We'll have one soon, hopefully",None,,
12/31/2018 19:44:46,I use it most days,I use it occasionally,I don't use it,I use it occasionally,I don't use it,I use it most days,I use it occasionally,I use it most days,I don't use it,I use it most days,I use it most days,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that on occasion,"Anytime, anywhere!","Anytime, anywhere!",I do that on occasion,"Anytime, anywhere!",I'm not sure what this is,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to help the guy that knows enough to be dangerous,Microsoft SQL Server,Getting there - It's used for certain operations,Hadoop with Spark,Other,On the cloud in Azure
1/1/2019 6:09:41,I can't live without it,I don't use it,I don't use it,I don't use it,I use it most days,I use it occasionally,I use it most days,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,,None of these apply to my case,,,
1/1/2019 8:30:43,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I do that very often,I've done it once or twice,I do that on occasion,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,None yet,Getting there - It's used for certain operations,Other,,Inside my company's network (on premise)
1/1/2019 15:01:28,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I use it most days,I can't live without it,I use it most days,I use it occasionally,I can't live without it,I use it occasionally,I use it occasionally,I use it occasionally,I don't use it,I do that very often,I do that on occasion,I do that very often,I do that very often,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,Enough to make me dangerous,Oracle,"Not even close - We've had some conversations about it, but nothing has been done yet",None,,
1/1/2019 15:59:00,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to make me dangerous,Other,"Silo - There's a Data Lake somewhere in the company, but we have no access",None,,Inside my company's network (on premise)
1/1/2019 17:34:58,I can't live without it,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it most days,I use it most days,I use it most days,I don't use it,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I do that very often,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Oracle",Getting there - It's used for certain operations,Hadoop with Spark,,Inside my company's network (on premise)
1/1/2019 18:26:13,I use it occasionally,I use it occasionally,I don't use it,I use it occasionally,I use it occasionally,I use it most days,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I'm the one that folks come to for help,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,None yet,"Not even close - We've had some conversations about it, but nothing has been done yet",None,,
1/1/2019 18:54:42,I use it most days,I use it occasionally,I don't use it,I use it occasionally,I use it occasionally,I use it occasionally,I use it most days,I use it occasionally,I use it occasionally,I use it most days,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,"Oracle, Other","Silo - There's a Data Lake somewhere in the company, but we have no access",None,Cloudera,Inside my company's network (on premise)
1/1/2019 23:58:37,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it occasionally,I don't use it,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,None yet,"Not even close - We've had some conversations about it, but nothing has been done yet",None,Other,Inside my company's network (on premise)
1/2/2019 0:30:07,I use it most days,I use it occasionally,I don't use it,I use it occasionally,I use it occasionally,I use it occasionally,I use it most days,I don't use it,I don't use it,I use it most days,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,"Hive / Impala, PostgreSQL",Getting there - It's used for certain operations,Hadoop with Spark,Cloudera,On the cloud in AWS
1/2/2019 8:38:48,I'm the one that folks come to for help,I don't use it,I don't use it,I don't use it,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I use it occasionally,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Oracle, Other",Mature - We use it for a lot of things,None,,
1/2/2019 9:26:06,I use it occasionally,I don't use it,I use it occasionally,I can't live without it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I use it occasionally,I don't use it,I do that very often,I do that on occasion,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,Enough to make me dangerous,"Microsoft SQL Server, Oracle, Redshift, Hive / Impala, PostgreSQL, Other",Getting there - It's used for certain operations,Hadoop with Spark,Cloudera,On the cloud in Google Cloud
1/2/2019 11:01:58,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I use it most days,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,None yet,None of these apply to my case,None,Other,
1/2/2019 11:22:03,I use it most days,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to make me dangerous,"Microsoft SQL Server, Redshift",Under construction - We are working through a POC today,None,,
1/2/2019 13:38:19,I'm the one that folks come to for help,I can't live without it,I don't use it,I can't live without it,I can't live without it,I don't use it,I can't live without it,I don't use it,I don't use it,I can't live without it,I use it occasionally,I use it occasionally,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",I do that on occasion,I've done it once or twice,I've done it once or twice,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,,Enough to write an R package for my company's use,"Redshift, Other","Early days - Passed the POC phase, but not fully there",Spark standalone,MapR,On the cloud in AWS
1/2/2019 14:02:25,I'm the one that folks come to for help,I use it occasionally,I don't use it,I use it occasionally,I use it most days,I use it occasionally,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I'm the one that folks come to for help,I use it occasionally,I don't use it,I don't use it,I don't use it,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,PostgreSQL,"Not even close - We've had some conversations about it, but nothing has been done yet",Other,,Inside my company's network (on premise)
1/2/2019 15:13:22,I use it most days,I don't use it,I don't use it,I don't use it,I use it most days,I use it most days,I use it most days,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,None yet,"On the road map - We'll have one soon, hopefully",None,Other,On the cloud in Google Cloud
1/2/2019 15:56:50,I can't live without it,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it most days,I use it most days,I don't use it,I don't use it,I can't live without it,I use it occasionally,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to make me dangerous,"Microsoft SQL Server, PostgreSQL, Other",Under construction - We are working through a POC today,None,,On the cloud in AWS
1/3/2019 9:24:13,I can't live without it,I don't use it,I don't use it,I don't use it,I use it occasionally,I can't live without it,I can't live without it,I can't live without it,I don't use it,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Redshift, PostgreSQL",None of these apply to my case,None,Other,
1/3/2019 10:08:10,I'm the one that folks come to for help,I use it occasionally,I don't use it,I don't use it,I use it most days,I use it occasionally,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I'm the one that folks come to for help,I use it occasionally,I don't use it,I don't use it,I don't use it,I've done it once or twice,,,,,,,,I've done it once or twice,I've done it once or twice,I've done it once or twice,,Enough to publish an R package on CRAN,None yet,None of these apply to my case,Other,Other,Inside my company's network (on premise)
1/3/2019 10:26:01,I'm the one that folks come to for help,I can't live without it,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I can't live without it,I don't use it,I don't use it,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I do that very often,I do that very often,I do that very often,I've done it once or twice,I'm not sure what this is,"Anytime, anywhere!",I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,Oracle,Mature - We use it for a lot of things,None,,
1/6/2019 8:01:50,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I do that very often,I do that very often,I do that on occasion,I do that on occasion,I'm not sure what this is,I do that on occasion,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,"PostgreSQL, Other",None of these apply to my case,None,,
1/7/2019 6:07:12,I can't live without it,I don't use it,I don't use it,I use it most days,I use it most days,I can't live without it,I use it most days,I can't live without it,I use it most days,I can't live without it,I use it most days,I don't use it,I don't use it,I don't use it,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Oracle",Under construction - We are working through a POC today,Hadoop with Spark,Hortonworks,Inside my company's network (on premise)
1/7/2019 10:24:49,I use it occasionally,I don't use it,I don't use it,I don't use it,I use it occasionally,I can't live without it,I can't live without it,I can't live without it,I don't use it,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,None yet,None of these apply to my case,None,,
1/7/2019 15:48:23,I use it most days,I don't use it,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it most days,I use it occasionally,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,Hive / Impala,Under construction - We are working through a POC today,Hadoop with Spark,,
1/7/2019 20:08:56,I can't live without it,I use it occasionally,I don't use it,I use it occasionally,I can't live without it,I use it occasionally,I can't live without it,I don't use it,I don't use it,I'm the one that folks come to for help,I don't use it,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,PostgreSQL,"Not even close - We've had some conversations about it, but nothing has been done yet",None,Other,
