Timestamp,"For each of these R packages, which one describes you best? [dplyr]","For each of these R packages, which one describes you best? [DBI]","For each of these R packages, which one describes you best? [sparklyr]","For each of these R packages, which one describes you best? [odbc]","For each of these R packages, which one describes you best? [purrr]","For each of these R packages, which one describes you best? [shiny]","For each of these R packages, which one describes you best? [RMarkdown]","For each of these R packages, which one describes you best? [shinydashboards]","For each of these R packages, which one describes you best? [flexdashboards]","For each of these R packages, which one describes you best? [ggplot2]","For each of these R packages, which one describes you best? [RODBC]","For each of these R packages, which one describes you best? [RJDBC]","For each of these R packages, which one describes you best? [sparkR]","For each of these R packages, which one describes you best? [rhdfs and/or rmr2]","Regarding SQL and Spark experience, which one describes you best? [Simple SQL queries]","Regarding SQL and Spark experience, which one describes you best? [Complex SQL SELECT queries ]","Regarding SQL and Spark experience, which one describes you best? [Update and insert new records into tables]","Regarding SQL and Spark experience, which one describes you best? [Create new tables and views]","Regarding SQL and Spark experience, which one describes you best? [Write stored-procedures/ programs]","Regarding SQL and Spark experience, which one describes you best? [Build a new database]","Regarding SQL and Spark experience, which one describes you best? [Build a new server]","Regarding SQL and Spark experience, which one describes you best? [Connect to a database using ODBC/JDBC]","Regarding SQL and Spark experience, which one describes you best? [Connect to Spark]","Regarding SQL and Spark experience, which one describes you best? [Run Spark jobs]","Regarding SQL and Spark experience, which one describes you best? [Write Spark jobs (Scala, python, etc)]","Regarding SQL and Spark experience, which one describes you best? [Build a Hadoop cluster]",Which one describes your proficiency in R?,"Which databases do you access at work today, or plan to access soon?",What is the status of your data lake?,Which kinds of clusters do you have access to at work?,"If you have access to a  Hadoop cluster, who is the provider?","If you have access to a cluster,  where is it hosted?"
1/2/2018 21:17:23,I can't live without it,I use it occasionally,I don't use it,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I can't live without it,I use it occasionally,I don't use it,I don't use it,I do that very often,I do that very often,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Other",,None,,
1/2/2018 21:38:38,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I'm the one that folks come to for help,I'm the one that folks come to for help,I'm the one that folks come to for help,I don't use it,I'm the one that folks come to for help,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",I do that on occasion,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,Microsoft SQL Server,None of these apply to my case,Other,,Inside my company's network (on premise)
1/2/2018 22:36:36,I'm the one that folks come to for help,I use it most days,I use it occasionally,I can't live without it,I use it occasionally,I use it occasionally,I use it most days,I use it occasionally,I use it occasionally,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!",I do that on occasion,"Anytime, anywhere!",I've done it once or twice,I've done it once or twice,I'm not sure what this is,"Anytime, anywhere!",I do that on occasion,I do that on occasion,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,Microsoft SQL Server,"On the road map - We'll have one soon, hopefully",Spark standalone,,Inside my company's network (on premise)
1/2/2018 22:36:39,I'm the one that folks come to for help,I use it most days,I use it occasionally,I use it occasionally,I can't live without it,I use it occasionally,I use it most days,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it most days,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I do that on occasion,I do that very often,I've done it once or twice,I've done it once or twice,I do that on occasion,I do that very often,I do that on occasion,I do that on occasion,I do that on occasion,I've done it once or twice,Enough to write an R package for my company's use,"Hive / Impala, Other",Getting there - It's used for certain operations,Hadoop without Spark,Cloudera,Inside my company's network (on premise)
1/3/2018 0:16:28,I can't live without it,I use it most days,I don't use it,I use it occasionally,I use it occasionally,I use it most days,I use it most days,I don't use it,I don't use it,I use it most days,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I do that very often,I do that on occasion,I do that on occasion,I've done it once or twice,I do that on occasion,I do that on occasion,I've done it once or twice,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,Enough to make me dangerous,Microsoft SQL Server,Under construction - We are working through a POC today,None,,
1/3/2018 3:57:35,I can't live without it,I don't use it,I don't use it,I don't use it,I use it occasionally,I use it most days,I can't live without it,I can't live without it,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that on occasion,I do that on occasion,I do that on occasion,I'm not sure what this is,I do that on occasion,I'm not sure what this is,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,None yet,Fully mature - We use it for everything,Hadoop with Spark,Other,On the cloud in Azure
1/3/2018 6:43:47,I'm the one that folks come to for help,I use it occasionally,I don't use it,I use it occasionally,I use it occasionally,I'm the one that folks come to for help,I'm the one that folks come to for help,I'm the one that folks come to for help,I don't use it,I'm the one that folks come to for help,I use it occasionally,I use it occasionally,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!",I do that on occasion,I do that on occasion,I've done it once or twice,I do that on occasion,I do that very often,I do that on occasion,I do that very often,I do that very often,I do that very often,I do that very often,Enough to publish an R package on CRAN,"Microsoft SQL Server, Redshift, Other","Early days - Passed the POC phase, but not fully there",Hadoop with Spark,Other,On the cloud in AWS
1/3/2018 6:55:27,I use it most days,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it occasionally,I use it most days,I use it occasionally,I don't use it,I use it most days,I use it occasionally,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to make me dangerous,Microsoft SQL Server,Getting there - It's used for certain operations,None,,
1/3/2018 9:03:01,I can't live without it,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I can't live without it,I use it occasionally,I don't use it,I don't use it,I don't use it,I do that very often,I do that on occasion,I've done it once or twice,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,,,,,
1/3/2018 14:23:52,I can't live without it,I don't use it,I don't use it,I don't use it,I can't live without it,I'm the one that folks come to for help,I can't live without it,I don't use it,I don't use it,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I've done it once or twice,"Anytime, anywhere!",I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,None yet,"Not even close - We've had some conversations about it, but nothing has been done yet",None,,
1/3/2018 15:34:22,,,,I use it most days,,,,,,I use it most days,,,I use it most days,,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",Enough to make me dangerous,"Microsoft SQL Server, Hive / Impala, PostgreSQL, Other",Getting there - It's used for certain operations,Hadoop with Spark,Other,Inside my company's network (on premise)
1/3/2018 19:13:21,I can't live without it,I don't use it,I use it occasionally,I don't use it,I use it most days,I use it occasionally,I use it most days,I don't use it,I don't use it,I can't live without it,I don't use it,I don't use it,I use it occasionally,I don't use it,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,Enough to publish an R package on CRAN,"PostgreSQL, Other","Early days - Passed the POC phase, but not fully there",Spark standalone,,Inside my company's network (on premise)
1/4/2018 0:40:07,I can't live without it,I use it occasionally,I don't use it,I use it occasionally,I don't use it,I can't live without it,I can't live without it,I can't live without it,I can't live without it,I can't live without it,I use it most days,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",I do that on occasion,I'm not sure what this is,I'm not sure what this is,I do that very often,I'm not sure what this is,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,Enough to write an R package for my company's use,PostgreSQL,,Spark standalone,,
1/4/2018 5:45:01,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I don't use it,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to make me dangerous,"Microsoft SQL Server, Hive / Impala, PostgreSQL, None yet",None of these apply to my case,None,,
1/4/2018 9:35:22,I use it most days,I use it most days,I don't use it,I use it occasionally,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I use it most days,I use it most days,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that on occasion,I do that very often,I do that on occasion,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,"Microsoft SQL Server, Other",Mature - We use it for a lot of things,Hadoop with Spark,Hortonworks,On the cloud in Azure
1/4/2018 15:28:39,I use it occasionally,I don't use it,I don't use it,I don't use it,I don't use it,I don't use it,I can't live without it,I don't use it,I don't use it,I can't live without it,I use it most days,I don't use it,I don't use it,I don't use it,I do that very often,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I'm not sure what this is,I've done it once or twice,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,Enough to write an R package for my company's use,"Redshift, Hive / Impala, PostgreSQL",Getting there - It's used for certain operations,Hadoop with Spark,Hortonworks,On the cloud in AWS
1/5/2018 9:11:59,I don't use it,I don't use it,I don't use it,I use it occasionally,I don't use it,I use it most days,I'm the one that folks come to for help,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I don't use it,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I do that very often,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to publish an R package on CRAN,PostgreSQL,"Not even close - We've had some conversations about it, but nothing has been done yet",None,Other,
1/6/2018 4:27:54,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I can't live without it,I use it occasionally,I use it occasionally,I use it occasionally,I use it most days,I use it most days,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that on occasion,I do that on occasion,I do that on occasion,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I do that very often,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Hive / Impala",Under construction - We are working through a POC today,Hadoop with Spark,,Inside my company's network (on premise)
1/7/2018 13:28:45,I can't live without it,I use it occasionally,I use it occasionally,I use it occasionally,,I can't live without it,I can't live without it,I don't use it,I don't use it,I can't live without it,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I do that on occasion,I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Oracle, Hive / Impala, Other","Early days - Passed the POC phase, but not fully there",Hadoop with Spark,Other,On the cloud in AWS
1/7/2018 16:22:36,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I can't live without it,I'm the one that folks come to for help,I can't live without it,I can't live without it,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I do that very often,I do that on occasion,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,"Oracle, PostgreSQL","On the road map - We'll have one soon, hopefully",Other,,
1/7/2018 17:47:50,I use it most days,I don't use it,I don't use it,I don't use it,I use it most days,I use it occasionally,I use it occasionally,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",I've done it once or twice,I've done it once or twice,I'm not sure what this is,I do that on occasion,I've done it once or twice,I've done it once or twice,I've done it once or twice,I'm not sure what this is,Enough to write an R package for my company's use,Other,Mature - We use it for a lot of things,Hadoop with Spark,MapR,Inside my company's network (on premise)
1/8/2018 12:53:26,I use it most days,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I can't live without it,I use it occasionally,I use it occasionally,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I've done it once or twice,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to write an R package for my company's use,None yet,None of these apply to my case,None,Other,Inside my company's network (on premise)
1/8/2018 18:46:54,I use it most days,I use it occasionally,I use it most days,I don't use it,I don't use it,I use it occasionally,I don't use it,I don't use it,I don't use it,I use it most days,I don't use it,I don't use it,I can't live without it,I don't use it,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",I do that on occasion,I do that very often,I've done it once or twice,I do that very often,"Anytime, anywhere!","Anytime, anywhere!","Anytime, anywhere!",I'm not sure what this is,Enough to write an R package for my company's use,"Microsoft SQL Server, Oracle, PostgreSQL",Fully mature - We use it for everything,Hadoop with Spark,Other,On the cloud in AWS
1/8/2018 21:03:30,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,I use it occasionally,I use it occasionally,I use it occasionally,I use it occasionally,I can't live without it,I don't use it,I don't use it,I don't use it,I don't use it,"Anytime, anywhere!",I do that very often,I do that on occasion,"Anytime, anywhere!",I do that on occasion,I've done it once or twice,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,I'm not sure what this is,Enough to stop being dangerous,Microsoft SQL Server,Getting there - It's used for certain operations,None,Other,
